time,eating,drinking,coughing,talking,throat_clearing,others
2024-09-02 20:36,0,0,0,0,2,11
2024-09-02 20:37,0,0,0,0,0,3
2024-09-02 20:38,0,0,0,1,2,9
2024-09-02 20:39,0,0,0,0,1,3
2024-09-02 20:41,1,0,0,1,1,4
2024-09-02 20:42,0,0,1,1,1,6
2024-09-02 20:43,0,0,1,0,0,1
2024-09-02 20:45,0,0,0,0,1,5
2024-09-02 20:46,0,0,2,0,1,2
2024-09-02 20:47,0,0,1,0,1,5
2024-09-02 20:48,0,1,0,0,0,3
2024-09-02 20:49,0,0,1,0,1,6
2024-09-02 20:54,0,0,0,0,0,2
2024-09-02 21:00,0,0,0,0,0,5
2024-09-02 21:01,0,0,0,0,0,5
2024-09-02 21:02,0,0,0,0,2,6
2024-09-02 21:03,0,0,0,1,2,4
2024-09-03 16:41,5,2,0,1,2,1
2024-09-04 09:25,0,0,0,1,0,3
2024-09-04 09:27,2,0,1,4,3,15
2024-09-04 09:58,2,0,0,1,2,7
2024-09-04 10:02,0,0,1,1,0,1
2024-09-04 10:03,0,0,1,5,2,18
2024-09-04 10:05,0,0,0,8,7,15
2024-09-04 10:06,0,0,0,5,5,32
2024-09-04 10:07,0,1,0,3,0,38
2024-09-04 10:08,1,0,3,3,1,34
2024-09-04 10:09,0,3,0,7,9,24
2024-09-04 10:10,1,0,0,5,1,35
2024-09-04 10:11,0,0,0,0,0,42
2024-09-04 10:12,0,0,0,0,0,33
2024-09-04 10:20,0,0,0,2,2,20
2024-09-04 10:21,1,0,0,1,1,38
2024-09-04 10:22,0,0,0,0,0,41
2024-09-04 10:23,0,0,0,0,0,34
2024-09-04 10:24,0,0,0,0,0,39
2024-09-04 10:25,0,0,0,0,0,41
2024-09-04 10:26,0,0,0,0,0,16
2024-09-04 10:27,0,1,0,5,3,9
2024-09-04 10:28,0,1,1,5,0,2
2024-09-04 10:29,0,0,0,3,4,23
2024-09-04 10:30,0,0,0,2,2,37
2024-09-04 10:31,0,0,0,0,0,42
2024-09-04 10:32,0,0,0,0,0,39
2024-09-04 10:33,0,0,0,0,0,42
2024-09-04 10:34,0,0,0,2,7,34
2024-09-04 10:35,1,2,1,1,7,31
2024-09-04 10:36,0,2,1,2,4,23
2024-09-04 10:37,0,0,0,5,3,24
2024-09-04 10:38,0,0,0,1,3,0
2024-09-04 10:40,1,0,1,4,4,12
2024-09-04 10:41,2,0,1,6,1,12
2024-09-04 10:43,1,0,0,4,0,21
2024-09-04 10:44,0,0,0,0,1,27
2024-09-04 10:45,0,1,4,0,1,22
2024-09-04 10:46,0,0,0,0,1,12
2024-09-04 10:47,0,0,0,4,1,35
2024-09-04 10:48,0,0,0,0,0,12
2024-09-04 10:50,0,0,0,6,2,13
2024-09-04 10:51,0,0,0,2,4,4
2024-09-04 10:52,1,1,0,4,6,30
2024-09-04 14:15,0,0,0,3,3,0
